stop_id,stop_name,stop_lat,stop_lon
3202,Zaffoni, 45.891940, 11.066550
3203,Saltaria, 45.895350, 11.067340
3204,Toldi, 45.897960, 11.061630
3205,Cisterna, 45.882950, 11.086500
3206,Moietto, 45.895180, 11.085820
3207,Valgrande, 45.878830, 11.111120
3208,Valduga, 45.877800, 11.129770
3209,Piazza Di Terragnolo, 45.878920, 11.152400
3210,Zoreri-Soldati, 45.864860, 11.190050
3212,Scottini, 45.883880, 11.135220
3213,Geroli, 45.865040, 11.170160
3215,Puechem/Camperi/Dosso, 45.877300, 11.157870
3219,Costa Di Terragnolo, 45.880780, 11.148040
3220,Staineri, 45.797280, 11.093540
3222,Pedrazzi, 45.878140, 11.142210
3223,Baisi, 45.867800, 11.182540
3224,Camperi, 45.874830, 11.162630
3225,Dosso, 45.877620, 11.155650
3226,Peltreri, 45.878730, 11.148780
3227,Senter, 45.877500, 11.089400
3230,Porte Di Trambileno, 45.883250, 11.051300
3231,Albaredo, 45.855980, 11.061120
3232,Foppiano, 45.842050, 11.061800
3233,Zanolli, 45.822780, 11.070740
3234,Matassone, 45.815840, 11.078220
3235,Aste, 45.790370, 11.095300
3236,Cumerlotti, 45.787130, 11.101370
3237,Riva Di Vallarsa, 45.779560, 11.105220
3238,Bruni, 45.776680, 11.107610
3239,Obra Di Vallarsa, 45.764900, 11.116490
3240,Ometto, 45.759700, 11.118820
3243,Geche, 45.769320, 11.115930
3253,Pozzacchio, 45.835120, 11.082490
3261,Nogaredo, 45.912070, 11.023010
3262,Molini Di Nogaredo, 45.914130, 11.021270
3263,Pedersano, 45.918000, 11.019770
3264,Castellano/Pedersano, 45.923320, 11.008140
3271,Brancolino, 45.902180, 11.020150
3273,Noarna, 45.911080, 11.012550
3274,Sasso, 45.904050, 11.013670
3290,Lizzanella, 45.874520, 11.031680
3295,Lizzana/Z. Industriale, 45.866850, 11.030670
3300,Zona Ind.Le Rovereto, 45.866310, 11.023810
3302,Mori (Terranera), 45.847870, 10.983630
3310,Mori, 45.851590, 10.978770
3312,Ravazzone Di Mori, 45.860080, 10.991280
3320,Molina Di Mori, 45.855200, 10.985620
3335,Brustolotti, 45.755960, 11.016390
3336,Muravalle, 45.747900, 11.038040
3337,Ronchi, 45.738920, 11.065740
3340,Campagnola, 45.757920, 10.992030
3341,Marco, 45.841460, 11.008220
3342,Serravalle, 45.809240, 11.014910
3343,S.Margherita, 45.796900, 11.024850
3344,Marani, 45.781070, 11.015920
3346,Ala/Pilcante, 45.758370, 11.000880
3347,Sdruzzina', 45.740820, 10.977260
3350,Avio, 45.735480, 10.942920
3351,Mama D'Avio, 45.704710, 10.921740
3352,Borghetto, 45.698560, 10.926950
3353,S.Leonardo, 45.704650, 10.930970
3354,Masi D'Avio, 45.712320, 10.936840
3356,S.Lucia (Ala), 45.797350, 11.015400
3357,Sabbionara., 45.740000, 10.957590
3358,Avio Fs/Vo' Sinistro, 45.735010, 10.959220
3362,Chizzola, 45.809160, 11.008760
3363,S.Cecilia, 45.823130, 10.998170
3364,Villetta, 45.806890, 11.010710
3367,Pilcante, 45.767180, 11.000750
3381,Valle S.Felice/Nomesino, 45.868970, 10.938200
3382,Manzano, 45.866720, 10.953600
3383,Nomesino, 45.865440, 10.962690
3384,Pannone, 45.877250, 10.934150
3385,Varano, 45.881300, 10.938400
3389,Ronzo Chienis, 45.891070, 10.951840
3401,Besagno, 45.837650, 10.969110
3402,Castione, 45.837790, 10.953530
3403,Crosano, 45.820040, 10.975640
3405,Corne', 45.808150, 10.970910
3406,Fontechel, 45.816480, 10.948260
3407,Brentonico/Crosano/Castione, 45.817920, 10.956100
3408,S.Giacomo Di Brentonico, 45.798760, 10.919600
3409,Passo S.Valentino, 45.783100, 10.912160
3410,Polsa, 45.781190, 10.940790
3411,Prada Di Saccone, 45.801020, 10.955910
3412,Saccone, 45.795380, 10.974280
3413,Sorne, 45.808220, 10.953390
3414,Cazzano, 45.816970, 10.969300
3415,Crosano Bivio, 45.821300, 10.967060
3416,Loc. Cazzanelli Di Corne', 45.805450, 10.979100
3417,Maso Palu', 45.811890, 10.940920
3460,Loppio, 45.855720, 10.929780
3465,Passo S.Giovanni, 45.874030, 10.906450
3470,Nago, 45.878460, 10.890660
3480,Torbole, 45.870870, 10.875750
3510,S.Tomaso, 45.902270, 10.860000
3520,Arco, 45.916100, 10.882990
3529,Caneve, 45.916720, 10.892190
3530,Bolognano/Massone, 45.912050, 10.901970
3534,Vignole, 45.908930, 10.901490
3540,Massone Case Itea, 45.921800, 10.899100
3542,Mori Ferrovia, 45.861890, 11.000670
3610,Ravina Bivio, 46.037600, 11.114120
3620,Romagnano Bivio, 46.014840, 11.106830
3640,Aldeno, 45.976950, 11.091810
3650,S.Giorgio Di Cimone, 45.975490, 11.079640
3670,Cimone, 45.978300, 11.066130
3671,Covelo Di Cimone, 45.979290, 11.070620
3675,Pietra Di Cimone, 45.981120, 11.063680
3680,Cimoneri/Pietra/Costa, 45.984450, 11.072210
3681,Costa Di Cimone, 45.978250, 11.060230
3690,Garniga Terme, 46.001390, 11.085860
3695,Garniga Vecchia, 46.013510, 11.083550
3700,Cernidor, 46.047880, 11.137530
3710,S.Rocco Bivio, 46.035940, 11.145660
3720,Pianizza, 46.016800, 11.145060
3730,Valsorda, 46.007820, 11.156870
3740,V. Vattaro/Bosentino, 46.003930, 11.195910
3750,Bosentino, 46.001460, 11.223200
3760,Vattaro, 45.992570, 11.218970
3770,Pian Dei Pradi, 45.979030, 11.237360
3780,Centa Bivio, 45.967420, 11.226820
3790,Centa S.Nicolo', 45.969500, 11.232830
3791,Campregheri Bivio, 45.984600, 11.232620
3792,Maso Uez, 45.972950, 11.233200
3800,Menegoi, 45.952780, 11.214260
3810,Fricca, 45.949400, 11.209030
3820,Carbonare, 45.934430, 11.226620
3830,Nosellari, 45.929500, 11.249870
3840,Virti, 45.945480, 11.238610
3849,Lago Di Lavarone, 45.933970, 11.255920
3850,Lavarone Chiesa/Virti, 45.941000, 11.251650
3851,Gionghi, 45.940710, 11.269650
3860,Bertoldi, 45.950390, 11.263130
3861,Azzolini, 45.942700, 11.265020
3862,Stengheli, 45.949550, 11.258650
3863,Lanzino, 45.947290, 11.250750
3870,Lavarone Cappella, 45.936700, 11.275420
3878,Gasperi, 45.940580, 11.276790
3880,Casanova, 45.941220, 11.279650
3890,Monterovere, 45.960650, 11.297360
3895,Luserna, 45.921640, 11.324240
4010,Ponte Alto, 46.073770, 11.150430
4015,Pine' Bivio/Cire', 46.081890, 11.194950
4020,Riposo, 46.084480, 11.236920
4021,Sille, 46.086050, 11.202910
4022,Madrano, 46.085910, 11.214290
4023,Nogare', 46.103910, 11.211290
4024,Tressilla, 46.128780, 11.237210
4025,Baselga Di Pine'/Miola, 46.135480, 11.249820
4026,Ferrari, 46.121660, 11.239930
4027,Ricaldo, 46.136100, 11.247660
4029,S.Mauro Bivio, 46.116600, 11.222350
4030,S.Mauro, 46.125260, 11.223910
4032,Sternigo Al Lago, 46.141620, 11.257910
4033,Sternigo, 46.140470, 11.252950
4038,Cane'/Fiore', 46.119100, 11.260790
4039,Valt, 46.106800, 11.236560
4040,Miola (St. Ghiaccio), 46.125410, 11.253570
4041,Faida, 46.109670, 11.251610
4042,Montagnaga, 46.098600, 11.236060
4043,Rizzolaga, 46.146530, 11.264060
4044,Campolongo, 46.149590, 11.269490
4045,Piazze Di Bedollo, 46.155620, 11.288060
4046,Centrale Di Bedollo, 46.160810, 11.302250
4047,Castellani, 46.159760, 11.298650
4048,Regnana, 46.154090, 11.309880
4050,Bedollo, 46.164970, 11.301320
4060,Brusago, 46.182110, 11.325840
4061,Svaldi, 46.170070, 11.301630
4070,Montesover, 46.217070, 11.327070
4080,Cire' (Superstrada), 46.077720, 11.204070
4090,Ponte Fersina, 46.069800, 11.223400
4100,Pergine Valsugana, 46.061240, 11.237020
4111,Zivignago, 46.067260, 11.252910
4112,Canezza/Viarago, 46.076960, 11.274470
4113,Roveda Bivio, 46.086430, 11.293800
4114,Roveda, 46.067980, 11.298890
4115,Kamauz, 46.074710, 11.302150
4116,Maso Tingherla, 46.067700, 11.314810
4118,Stefani, 46.098580, 11.294190
4119,Casalino (Stadio Ghiaccio), 46.072170, 11.235620
4120,Serso, 46.074820, 11.253080
4121,Viarago, 46.079800, 11.262160
4122,Mala, 46.090550, 11.281500
4123,S.Orsola, 46.107680, 11.301860
4124,Bagni Terme Di S.Orsola, 46.113750, 11.307870
4125,Fontanari, 46.121160, 11.316440
4126,Palu' Del Fersina, 46.129680, 11.352040
4127,Assizzi, 46.050560, 11.257410
4128,S.Caterina Di Pergine, 46.017240, 11.227000
4129,Canale Di Pergine Vals., 46.043620, 11.227030
4130,Susa'/S.Vito, 46.051100, 11.223530
4132,Casalino, 46.074250, 11.229210
4133,Vigalzano, 46.076910, 11.228460
4134,Canzolino, 46.083690, 11.221500
4135,Vignola, 46.044530, 11.277060
4136,Falesina, 46.070990, 11.277760
4137,Roncogno/Costasavina, 46.069340, 11.207310
