route_id,agency_id,route_short_name,route_long_name,route_type
6,1,503,Sagron-Mis-P.So Cereda-Val Canali-Fiera Di P.-Imer,3
7,1,504,Ronco Chiesa - Ronco Fosse - Canal S.Bovo,3
8,1,505,Caoria-Totoga-Imer-Fiera Di Primiero,3
9,1,506,Caoria-Canal S.Bovo-Imer-Fiera Di Primiero,3
10,1,507,Caoria-Canal S.Bovo-Feltre,3
158,1,631,Fondo - Tret,3
192,1,Rv GS,Gite Scolastiche Rovereto,3
202,1,090,Operai And. Trento Città,3
31,1,123,Falcade- Passo S.Pellegrino-Moena,3
220,1,461,Linea 1 Nogarè - Madrano - Pergine Valsugana,3
221,1,462,Linea 2 Pergine-Zivignago-Canezza-Viarago-Serso,3
222,1,463,Linea 3 Zava-Assizzi-Masetti-Pergine Valsugana,3
223,1,464,Linea 4  Ischia - Pergine Valsugana,3
224,1,465,Linea 5 S.Caterina-Canale-S.Vito-Susà-Pergine,3
225,1,466,Linea 6 Roncogno-Costasavina-Pergine Valsugana,3
226,1,467,Linea 7 Cirè - Pergine - S.Cristoforo - Valcanover,3
227,1,999,Linea Per Vendita Tariffaria,3
53,1,429,Regnana-Centrale,3
11,1,511,Siror - Fiera Di Primiero - Imer - Masi Imer,3
12,1,512,Feltre-Arten-Borgo Valsugana,3
201,1,637,Tregiovo-Revò,3
