service_id,date
3FER9,20130330
3F6,20130330
3P6,20130330
3SAB,20130330
30A6,20130330
30D6,20130330
30E,20130330
30E2,20130330
30F6,20130330
30I6,20130330
30J,20130330
30L,20130330
30LL,20130330
30M,20130330
30MM,20130330
30MMM,20130330
30N6,20130330
30P6,20130330
30R6,20130330
30S6,20130330
30U,20130330
30W,20130330
30Y,20130330
30Z,20130330
30126,20130330
30136,20130330
30156,20130330
30256,20130330
3026,20130330
3036,20130330
30456,20130330
3046,20130330
3056,20130330
306,20130330
30635,20130330
3066,20130330
30666,20130330
309,20130330
309MD,20130330
309ML,20130330
309TN,20130330
3091,20130330
3092,20130330
30923,20130330
30924,20130330
3093,20130330
30935,20130330
3094,20130330
3095,20130330
3099,20130330
30999,20130330
33456,20130330
3905,20130330
3924,20130330
UAGF,20130331
UAGGG,20130331
UAGSD,20130331
URvac,20130331
URvds,20130331
URvF,20130331
URvGG,20130331
UTnac,20130331
UTnds,20130331
UTnF,20130331
UTnGG,20130331
UTnTR,20130331
3FEST,20130331
3MN0,20130331
3N0,20130331
3N00,20130331
3N1,20130331
3TN0,20130331
300,20130331
UAGf5,20130401
UAGf6,20130401
UAGGG,20130401
UAGn6,20130401
UAGs4,20130401
UAGs5,20130401
UAGs6,20130401
URvac,20130401
URvds,20130401
URvF,20130401
URvGG,20130401
UTnac,20130401
UTnds,20130401
UTnF,20130401
UTnGG,20130401
UTnTR,20130401
3FEST,20130401
3MN0,20130401
3N0,20130401
3N00,20130401
3N1,20130401
3TN0,20130401
300,20130401
UAGf5,20130402
UAGf6,20130402
UAGGG,20130402
UAGn6,20130402
UAGs4,20130402
UAGs5,20130402
UAGs6,20130402
URvac,20130402
URvds,20130402
URvf4,20130402
URvf5,20130402
URvf6,20130402
URvGG,20130402
URvn4,20130402
URvn5,20130402
URvn6,20130402
UTnac,20130402
UTna5,20130402
UTnds,20130402
UTnf4,20130402
UTnf5,20130402
UTnf6,20130402
UTnGG,20130402
UTnn4,20130402
UTnn5,20130402
UTnn6,20130402
UTnTR,20130402
UTnZ,20130402
3DB,20130402
3DBB,20130402
3DC,20130402
3DG,20130402
3DH,20130402
3DI,20130402
3DP,20130402
3DQ,20130402
3DR,20130402
3DS,20130402
3DV,20130402
3DX,20130402
3D12,20130402
3D125,20130402
3D2,20130402
3D8,20130402
3D88,20130402
3FC,20130402
3FER,20130402
3FER4,20130402
3FER5,20130402
3FER9,20130402
