route_id,service_id,trip_id,trip_short_name,direction_id,departure_time,variante_id,variante_name,variante_short_name
183,UTnf5,18147_20130402_UTnf5_8051,T05109,0,13.29.00,22090,X - piazza dante/povo/olt,15050198
183,UTnf5,18152_20130402_UTnf5_8051,T05106,0,10.29.00,22090,X - piazza dante/povo/olt,15050198
183,UTnf5,18154_20130402_UTnf5_8051,T05104,0,08.27.00,22090,X - piazza dante/povo/olt,15050198
182,UTnf5,18177_20130402_UTnf5_8043,T04362,1,15.27.00,5047,mad.bianca/degasperi/regi,150402
182,UTnf5,18182_20130402_UTnf5_8043,T04359,1,13.03.00,5047,mad.bianca/degasperi/regi,150402
182,UTnf5,18400_20130402_UTnf5_8043,T04305,0,09.32.00,3769,p.dante/via degasperi/mad,150401
182,UTnf5,18403_20130402_UTnf5_8043,T04304,0,08.44.00,3769,p.dante/via degasperi/mad,150401
182,UTnf5,54701_20130402_UTnf5_8043,T04302,0,07.06.00,3769,p.dante/via degasperi/mad,150401
188,UTnf5,58503_20130402_UTnf5_8304,T_A461,1,17.54.00,20865,clarina/centro città/piaz,15300698
176,UTnf5,28010_20130402_UTnf5_8115,T11c61,1,19.33.00,10982,spini di gardolo/roncafor,171107
176,UTnf5,28014_20130402_UTnf5_8115,T11c01,0,13.17.00,10984,gardolo piazza/spini (CTA,171109
182,UTnf5,18226_20130402_UTnf5_8042,T04262LV,1,15.59.00,5047,mad.bianca/degasperi/regi,150402
182,UTnf5,18243_20130402_UTnf5_8042,T04260LV,1,14.23.00,5047,mad.bianca/degasperi/regi,150402
182,UTnf5,58838_20130402_UTnf5_8042,T04208,0,12.28.00,3769,p.dante/via degasperi/mad,150401
182,UTnf5,58835_20130402_UTnf5_8042,T04205,0,10.04.00,3769,p.dante/via degasperi/mad,150401
182,UTnf5,23057_20130402_UTnf5_8042,T04253,1,08.47.00,5047,mad.bianca/degasperi/regi,150402
182,UTnf5,19995_20130402_UTnf5_8041,T04113,0,14.36.00,3769,p.dante/via degasperi/mad,150401
182,UTnf5,20031_20130402_UTnf5_8041,T04110,0,12.12.00,3769,p.dante/via degasperi/mad,150401
182,UTnf5,18276_20130402_UTnf5_8041,T04157,1,10.07.00,5047,mad.bianca/degasperi/regi,150402
182,UTnf5,18282_20130402_UTnf5_8041,T04156,1,09.19.00,5047,mad.bianca/degasperi/regi,150402
181,UTnf5,23040_20130402_UTnf5_8038,T03853,1,12.07.00,4997,villazzano 3/meano 2/cort,150332
175,UTnf5,21642_20130402_UTnf5_8101,T101v9LV,0,20.14.00,3617,linea 10 trasferimenti a,16901016
175,UTnf5,38807_20130402_UTnf5_8101,T10163,1,18.19.00,18201,X - cognola/martignano/st,15100299
175,UTnf5,54888_20130402_UTnf5_8101,T10108,0,12.51.00,19823,X - stazione/martignano/c,15100199
175,UTnf5,54883_20130402_UTnf5_8101,T10103,0,07.46.00,19823,X - stazione/martignano/c,15100199
181,UTnf5,58829_20130402_UTnf5_8036,T03656,1,17.37.00,4997,villazzano 3/meano 2/cort,150332
181,UTnf5,58805_20130402_UTnf5_8035,T03509,0,20.17.00,3712,cortesano/stazione/villaz,150301
181,UTnf5,58802_20130402_UTnf5_8035,T03506,0,14.17.00,3712,cortesano/stazione/villaz,150301
181,UTnf5,23029_20130402_UTnf5_8034,T03457,1,19.07.00,4997,villazzano 3/meano 2/cort,150332
181,UTnf5,11609_20130402_UTnf5_8034,T03405,0,14.02.00,3715,cortesano/meano 2/villazz,150331
181,UTnf5,11606_20130402_UTnf5_8034,T03402,0,08.02.00,3715,cortesano/meano 2/villazz,150331
247,UTnf5,55003_20130402_UTnf5_8161,T16109,0,19.10.00,19990,X - centochiavi/martignan,151601
247,UTnf5,55002_20130402_UTnf5_8161,T16108,0,18.10.00,19990,X - centochiavi/martignan,151601
247,UTnf5,55001_20130402_UTnf5_8161,T16106,0,15.10.00,19990,X - centochiavi/martignan,151601
247,UTnf5,55009_20130402_UTnf5_8161,T16155,1,14.40.00,19991,X - povo-martignano-cento,151602
181,UTnf5,23020_20130402_UTnf5_8032,T03255,1,14.37.00,4997,villazzano 3/meano 2/cort,150332
181,UTnf5,58819_20130402_UTnf5_8032,T03204,0,11.32.00,3715,cortesano/meano 2/villazz,150331
175,UTnf5,59069_20130402_UTnf5_8104,T10459,1,13.50.00,3594,X - montevaccino/martigna,151012
175,UTnf5,59082_20130402_UTnf5_8104,T10456LV,1,11.30.00,18203,X - montevaccino/martigna,15106299
175,UTnf5,7561_20130402_UTnf5_8104,T10406,0,11.11.00,3593,X - martignano piazza/mon,151011
175,UTnf5,7558_20130402_UTnf5_8104,T10403,0,09.11.00,3593,X - martignano piazza/mon,151011
186,UTnf5,12107_20130402_UTnf5_8082,T08207,0,14.26.00,3903,centochiavi/mattarello,150801
186,UTnf5,12105_20130402_UTnf5_8082,T08205,0,11.26.00,3903,centochiavi/mattarello,150801
174,UTnf5,24780_20130402_UTnf5_8014,T01411,1,17.34.00,19787,roncafort/p.dante/roncafo,15010197
174,UTnf5,24804_20130402_UTnf5_8014,T01410,1,16.22.00,19787,roncafort/p.dante/roncafo,15010197
174,UTnf5,24576_20130402_UTnf5_8014,T01453,1,08.17.00,19789,roncafort/p.dante/roncafo,15010697
174,UTnf5,49280_20130402_UTnf5_8014,T01402,1,06.56.00,19787,roncafort/p.dante/roncafo,15010197
174,UTnf5,24687_20130402_UTnf5_8012,T01261,1,18.29.00,19789,roncafort/p.dante/roncafo,15010697
174,UTnf5,24709_20130402_UTnf5_8012,T01256,1,12.29.00,19789,roncafort/p.dante/roncafo,15010697
174,UTnf5,23487_20130402_UTnf5_8012,T012v1,1,06.18.00,3578,linea 01 trasferimenti a,16900110
199,UTnf5,23995_20130402_UTnf5_8022,T02262,1,19.34.00,5200,vela/stazione/p.dante/vel,150206
199,UTnf5,24005_20130402_UTnf5_8022,T02260,1,17.10.00,5200,vela/stazione/p.dante/vel,150206
199,UTnf5,24379_20130402_UTnf5_8022,T02210,1,16.49.00,5199,vela/stazione/p.dante/vel,150201
199,UTnf5,24014_20130402_UTnf5_8022,T02259,1,15.58.00,5200,vela/stazione/p.dante/vel,150206
199,UTnf5,24025_20130402_UTnf5_8022,T02255,1,11.10.00,5200,vela/stazione/p.dante/vel,150206
199,UTnf5,24055_20130402_UTnf5_8021,T02162,1,19.16.00,5200,vela/stazione/p.dante/vel,150206
199,UTnf5,24429_20130402_UTnf5_8021,T02112,1,18.55.00,5199,vela/stazione/p.dante/vel,150201
199,UTnf5,24511_20130402_UTnf5_8021,T02103,1,08.03.00,5199,vela/stazione/p.dante/vel,150201
190,UTnf5,23498_20130402_UTnf5_8323,TNP362,1,18.21.00,11831,Navetta Parcheggi,15320502
190,UTnf5,23562_20130402_UTnf5_8323,TNP308,1,14.15.00,11830,Navetta Parcheggi,15320002
190,UTnf5,23503_20130402_UTnf5_8323,TNP357,1,13.41.00,11831,Navetta Parcheggi,15320502
190,UTnf5,23521_20130402_UTnf5_8322,TNP265,1,14.11.00,11831,Navetta Parcheggi,15320502
190,UTnf5,23522_20130402_UTnf5_8322,TNP264,1,13.31.00,11831,Navetta Parcheggi,15320502
190,UTnf5,38582_20130402_UTnf5_8322,TNP209,1,10.45.00,11830,Navetta Parcheggi,15320002
190,UTnf5,23596_20130402_UTnf5_8322,TNP204,1,08.00.00,11830,Navetta Parcheggi,15320002
190,UTnf5,23528_20130402_UTnf5_8322,TNP253,1,07.41.00,11831,Navetta Parcheggi,15320502
190,UTnf5,23599_20130402_UTnf5_8322,TNP201,1,06.30.00,11830,Navetta Parcheggi,15320002
190,UTnf5,23600_20130402_UTnf5_8321,TNP125,1,20.00.00,11830,Navetta Parcheggi,15320002
190,UTnf5,23536_20130402_UTnf5_8321,TNP170,1,17.31.00,11831,Navetta Parcheggi,15320502
190,UTnf5,23547_20130402_UTnf5_8321,TNP159,1,11.11.00,11831,Navetta Parcheggi,15320502
190,UTnf5,23620_20130402_UTnf5_8321,TNP105,1,09.00.00,11830,Navetta Parcheggi,15320002
188,UTnf5,58459_20130402_UTnf5_8302,T_A207,1,12.10.00,20863,clarina/centro città/piaz,15300198
188,UTnf5,58482_20130402_UTnf5_8302,T_A253,1,08.24.00,20865,clarina/centro città/piaz,15300698
188,UTnf5,58478_20130402_UTnf5_8302,T_A201,1,06.20.00,20864,clarina/centro città/regi,15300199
188,UTnf5,29607_20130402_UTnf5_8302,T_A2v1,1,06.13.00,3968,linea A trasferimenti a v,16903005
187,UTnf5,17290_20130402_UTnf5_8092,T09212,0,15.39.00,22133,X - p.dante/cognola/villa,15090198
187,UTnf5,38765_20130402_UTnf5_8092,T09257,1,11.06.00,18209,X - villamontagna/cognola,15090298
187,UTnf5,38763_20130402_UTnf5_8092,T09255,1,09.06.00,18209,X - villamontagna/cognola,15090298
188,UTnf5,58542_20130402_UTnf5_8301,T_A157,1,13.04.00,20869,clarina/fersina/trieste/p,15302601
188,UTnf5,58540_20130402_UTnf5_8301,T_A155,1,11.04.00,20869,clarina/fersina/trieste/p,15302601
188,UTnf5,58539_20130402_UTnf5_8301,T_A154,1,10.04.00,20869,clarina/fersina/trieste/p,15302601
188,UTnf5,58537_20130402_UTnf5_8301,T_A152,1,08.04.00,20869,clarina/fersina/trieste/p,15302601
190,UTnf5,23621_20130402_UTnf5_8321,TNP104,1,08.20.00,11830,Navetta Parcheggi,15320002
190,UTnf5,23624_20130402_UTnf5_8321,TNP101,1,06.45.00,11830,Navetta Parcheggi,15320002
186,UTnf5,17563_20130402_UTnf5_8086,T08607,0,15.26.00,3903,centochiavi/mattarello,150801
